,occ_code,occ_title,tot_emp_2019,h_mean_2019,a_mean_2019,tot_emp_2018,h_mean_2018,a_mean_2018,tot_emp_2017,h_mean_2017,a_mean_2017,tot_emp_2016,h_mean_2016,a_mean_2016,tot_emp_2015,h_mean_2015,a_mean_2015,tot_emp_2014,h_mean_2014,a_mean_2014,tot_emp_2013,h_mean_2013,a_mean_2013,tot_emp_2012,h_mean_2012,a_mean_2012,tot_emp_2011,h_mean_2011,a_mean_2011,tot_emp_2010,h_mean_2010,a_mean_2010,tot_emp_2009,h_mean_2009,a_mean_2009
10,11-2010,Advertising and Promotions Managers,25100,68.22,141890,25260.0,63.99,133090,28100.0,59.56,123880,28860.0,56.64,117810,29340.0,54.62,113610,29340.0,55.15,114700,28530.0,54.27,112870,28420.0,51.47,107060,,,,,,,,,
11,11-2011,Advertising and Promotions Managers,25100,68.22,141890,25260.0,63.99,133090,28100.0,59.56,123880,28860.0,56.64,117810,29340.0,54.62,113610,29340.0,55.15,114700,28530.0,54.27,112870,28420.0,51.47,107060,30710.0,49.69,103350,32240.0,47.46,98720,,,
12,11-2020,Marketing and Sales Managers,666280,69.55,144660,619500.0,68.75,143000,590380.0,67.6,140600,571120.0,66.52,138350,557640.0,64.4,133950,543410.0,62.45,129900,526220.0,60.88,126640,516170.0,59.26,123260,,,,,,,,,
13,11-2021,Marketing Managers,263680,71.73,149200,240440.0,70.79,147240,218970.0,70.01,145620,205900.0,69.3,144140,192890.0,67.63,140660,184490.0,66.06,137400,174010.0,64.28,133700,171430.0,62.44,129870,168410.0,60.67,126190,164590.0,59,122720,,,
14,11-2022,Sales Managers,402600,68.12,141690,379050.0,67.46,140320,371410.0,66.18,137650,365230.0,64.95,135090,364750.0,62.69,130400,358920.0,60.6,126040,352220.0,59.21,123150,344730.0,57.68,119980,328230.0,56.18,116860,319300.0,54.86,114110,,,
15,11-2030,Public Relations and Fundraising Managers,79160,63.77,132630,72460.0,63.26,131570,67300.0,61.39,127690,63970.0,59.31,123360,60380.0,57.4,119390,56920.0,55.48,115400,53730.0,53.49,111260,53520.0,52.05,108260,,,,,,,,,
16,11-2030,Public Relations and Fundraising Managers,79160,63.77,132630,72460.0,63.26,131570,67300.0,61.39,127690,63970.0,59.31,123360,60380.0,57.4,119390,56920.0,55.48,115400,53730.0,53.49,111260,53520.0,52.05,108260,,,,,,,,,
17,11-3000,Operations Specialties Managers,1996160,64.69,134550,1853660.0,63.79,132680,1752130.0,62.24,129450,1693430.0,60.32,125470,1663790.0,58.12,120900,1624000.0,56.44,117390,1582020.0,54.88,114160,1532610.0,53.54,111350,,,,,,,,,
18,11-3010,Administrative Services and Facilities Managers,307280,51.23,106550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11-3010,Administrative Services and Facilities Managers,307280,51.23,106550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11-3020,Computer and Information Systems Managers,433960,75.19,156390,391430.0,73.49,152860,365690.0,71.99,149730,352510.0,70.07,145740,341250.0,67.79,141000,330360.0,65.52,136280,319080.0,63.74,132570,309740.0,62.08,129130,,,,,,,,,
21,11-3021,Computer and Information Systems Managers,433960,75.19,156390,391430.0,73.49,152860,365690.0,71.99,149730,352510.0,70.07,145740,341250.0,67.79,141000,330360.0,65.52,136280,319080.0,63.74,132570,309740.0,62.08,129130,300830.0,60.41,125660,288660.0,59.27,123280,,,
22,11-3030,Financial Managers,654790,70.93,147530,608120.0,70.59,146830,569380.0,69.01,143530,543300.0,67.17,139720,531120.0,64.58,134330,518030.0,62.61,130230,499320.0,60.89,126660,484910.0,59.26,123260,,,,,,,,,
23,11-3031,Financial Managers,654790,70.93,147530,608120.0,70.59,146830,569380.0,69.01,143530,543300.0,67.17,139720,531120.0,64.58,134330,518030.0,62.61,130230,499320.0,60.89,126660,484910.0,59.26,123260,477690.0,57.91,120450,478940.0,56.24,116970,,,
24,11-3050,Industrial Production Managers,185790,55.34,115110,181310.0,54.51,113370,171520.0,53.16,110580,168400.0,51.47,107060,169390.0,49.87,103720,167200.0,48.87,101640,165340.0,47.78,99370,160550.0,46.87,97490,,,,,,,,,
25,11-3051,Industrial Production Managers,185790,55.34,115110,181310.0,54.51,113370,171520.0,53.16,110580,168400.0,51.47,107060,169390.0,49.87,103720,167200.0,48.87,101640,165340.0,47.78,99370,160550.0,46.87,97490,151850.0,46.33,96370,143310.0,45.99,95660,,,
26,11-3060,Purchasing Managers,72100,61.73,128400,69490.0,60.4,125630,70430.0,58.56,121810,71750.0,56.6,117720,72600.0,54.87,114130,70840.0,53.76,111810,69620.0,52.71,109640,69400.0,51.06,106200,,,,,,,,,
27,11-3061,Purchasing Managers,72100,61.73,128400,69490.0,60.4,125630,70430.0,58.56,121810,71750.0,56.6,117720,72600.0,54.87,114130,70840.0,53.76,111810,69620.0,52.71,109640,69400.0,51.06,106200,66990.0,49.57,103110,65220.0,48.36,100600,,,
28,11-3070,"Transportation, Storage, and Distribution Managers",132040,49.67,103320,124810.0,49.45,102850,118680.0,48.43,100740,113270.0,46.94,97630,109210.0,45.74,95130,106000.0,44.8,93180,102610.0,43.86,91220,98600.0,42.75,88920,,,,,,,,,
29,11-3071,"Transportation, Storage, and Distribution Managers",132040,49.67,103320,124810.0,49.45,102850,118680.0,48.43,100740,113270.0,46.94,97630,109210.0,45.74,95130,106000.0,44.8,93180,102610.0,43.86,91220,98600.0,42.75,88920,92150.0,42.23,87830,90280.0,41.65,86630,,,
30,11-3110,Compensation and Benefits Managers,16900,64.52,134210,15660.0,63.87,132860,15520.0,62.5,130010,15230.0,61.01,126900,15930.0,58.48,121630,16380.0,57.05,118670,17570.0,53.87,112040,19960.0,50.92,105920,,,,,,,,,
31,11-3111,Compensation and Benefits Managers,16900,64.52,134210,15660.0,63.87,132860,15520.0,62.5,130010,15230.0,61.01,126900,15930.0,58.48,121630,16380.0,57.05,118670,17570.0,53.87,112040,19960.0,50.92,105920,24580.0,48.62,101130,29830.0,46.61,96940,,,
32,11-3120,Human Resources Managers,154800,62.29,129570,143580.0,60.91,126700,136310.0,59.38,123510,129810.0,57.79,120210,122780.0,56.29,117080,116610.0,54.88,114140,110650.0,53.45,111180,98020.0,52.69,109590,,,,,,,,,
33,11-3121,Human Resources Managers,154800,62.29,129570,143580.0,60.91,126700,136310.0,59.38,123510,129810.0,57.79,120210,122780.0,56.29,117080,116610.0,54.88,114140,110650.0,53.45,111180,98020.0,52.69,109590,81750.0,52.21,108600,67700.0,52.21,108600,,,
34,11-3130,Training and Development Managers,38510,59.36,123470,35690.0,58.53,121730,34500.0,56.58,117690,32880.0,55.37,115180,31430.0,53.69,111680,29870.0,53.38,111030,28340.0,51.81,107770,27350.0,49.91,103810,,,,,,,,,
35,11-3131,Training and Development Managers,38510,59.36,123470,35690.0,58.53,121730,34500.0,56.58,117690,32880.0,55.37,115180,31430.0,53.69,111680,29870.0,53.38,111030,28340.0,51.81,107770,27350.0,49.91,103810,27150.0,47.73,99280,28070.0,46.06,95800,,,
36,11-9000,Other Management Occupations,2628970,49.31,102560,2510140.0,48.51,100900,2368680.0,47.57,98940,2267610.0,46.86,97480,2185950.0,45.85,95360,2136840.0,45.06,93720,2074200.0,44.32,92180,2047560.0,43.46,90400,,,,,,,,,
37,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",5060,38.63,80360,4770.0,38.43,79940,4610.0,38.62,80320,4560.0,36.44,75790,4370.0,33.6,69880,4300.0,34.89,72570,3770.0,35.2,73210,3970.0,35.45,73730,,,,,,,,,
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5060,38.63,80360,4770.0,38.43,79940,4610.0,38.62,80320,4560.0,36.44,75790,4370.0,33.6,69880,4300.0,34.89,72570,3770.0,35.2,73210,3970.0,35.45,73730,3340.0,33.66,70010,3680.0,31.71,65960,,,
39,11-9020,Construction Managers,293380,50.48,105000,278460.0,49.57,103110,263480.0,48.56,101000,249650.0,47.84,99510,239640.0,46.88,97510,227710.0,45.47,94590,213720.0,44.57,92700,207580.0,43.73,90960,,,,,,,,,
40,11-9021,Construction Managers,293380,50.48,105000,278460.0,49.57,103110,263480.0,48.56,101000,249650.0,47.84,99510,239640.0,46.88,97510,227710.0,45.47,94590,213720.0,44.57,92700,207580.0,43.73,90960,195000.0,45.14,93900,191430.0,45.31,94240,,,
41,11-9030,Education and Childcare Administrators,512820,47.25,98270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11-9031,"Education and Childcare Administrators, Preschool and Daycare",52360,25.81,53690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11-9032,"Education Administrators, Kindergarten through Secondary",271020,*,100340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,11-9033,"Education Administrators, Postsecondary",144880,54.04,112400,143430.0,53.47,111210,142160.0,51.77,107670,138430.0,50.85,105770,135690.0,49.33,102610,131070.0,48.99,101910,126340.0,48.37,100600,122930.0,47.77,99370,113620.0,46.72,97170,110360.0,46.48,96680,,,
45,11-9039,"Education Administrators, All Other",44550,44.3,92150,41000.0,43.06,89570,36190.0,42.42,88240,34140.0,40.58,84400,31880.0,39.89,82970,31920.0,39.88,82960,30880.0,39.99,83170,29360.0,39.37,81890,28090.0,39.46,82070,28100.0,39.36,81870,,,
46,11-9040,Architectural and Engineering Managers,194250,73.52,152930,188290.0,71.62,148970,179990.0,70.33,146290,178390.0,69.17,143870,179770.0,68.1,141650,179320.0,66.69,138720,183430.0,65.65,136540,187640.0,64.06,133240,,,,,,,,,
47,11-9041,Architectural and Engineering Managers,194250,73.52,152930,188290.0,71.62,148970,179990.0,70.33,146290,178390.0,69.17,143870,179770.0,68.1,141650,179320.0,66.69,138720,183430.0,65.65,136540,187640.0,64.06,133240,184530.0,62.19,129350,174720.0,60.53,125900,,,
48,11-9050,Food Service Managers,235470,28.76,59820,219160.0,28.35,58960,208110.0,27.52,57250,201470.0,26.93,56010,201370.0,25.79,53640,198610.0,25.72,53500,191030.0,25.54,53130,189510.0,25.28,52580,,,,,,,,,
49,11-9051,Food Service Managers,235470,28.76,59820,219160.0,28.35,58960,208110.0,27.52,57250,201470.0,26.93,56010,201370.0,25.79,53640,198610.0,25.72,53500,191030.0,25.54,53130,189510.0,25.28,52580,183940.0,25.3,52620,186830.0,25.11,52220,,,
50,11-9071,Gambling Managers,4450,40.72,84700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,11-9080,Lodging Managers,38340,30.56,63570,37050.0,29.94,62270,36610.0,28.67,59620,35410.0,28.56,59410,35480.0,27.79,57810,31740.0,27.51,57230,30950.0,26.83,55810,29730.0,26.35,54800,,,,,,,,,
52,11-9081,Lodging Managers,38340,30.56,63570,37050.0,29.94,62270,36610.0,28.67,59620,35410.0,28.56,59410,35480.0,27.79,57810,31740.0,27.51,57230,30950.0,26.83,55810,29730.0,26.35,54800,29870.0,26.49,55100,29920.0,26.23,54570,,,
53,11-9110,Medical and Health Services Managers,394910,55.37,115160,372670.0,54.68,113730,346980.0,53.69,111680,332150.0,52.58,109370,314950.0,50.99,106070,310320.0,49.84,103680,300180.0,48.72,101340,293490.0,47.34,98460,,,,,,,,,
54,11-9111,Medical and Health Services Managers,394910,55.37,115160,372670.0,54.68,113730,346980.0,53.69,111680,332150.0,52.58,109370,314950.0,50.99,106070,310320.0,49.84,103680,300180.0,48.72,101340,293490.0,47.34,98460,287560.0,46.17,96030,282990.0,45.03,93670,,,
55,11-9120,Natural Sciences Managers,67720,69.93,145450,60260.0,67.16,139680,56210.0,64.26,133670,54780.0,65.46,136150,53450.0,65.66,136570,53290.0,65.6,136450,51900.0,63.87,132850,48560.0,62.69,130400,,,,,,,,,
56,11-9121,Natural Sciences Managers,67720,69.93,145450,60260.0,67.16,139680,56210.0,64.26,133670,54780.0,65.46,136150,53450.0,65.66,136570,53290.0,65.6,136450,51900.0,63.87,132850,48560.0,62.69,130400,47510.0,61.65,128230,45920.0,62.17,129320,,,
57,11-9130,Postmasters and Mail Superintendents,13850,37.6,78220,13770.0,37.04,77040,13960.0,36.38,75660,14720.0,34.61,71980,14770.0,33.92,70540,17930.0,32.21,67000,17930.0,31.89,66340,23790.0,29.85,62080,,,,,,,,,
58,11-9131,Postmasters and Mail Superintendents,13850,37.6,78220,13770.0,37.04,77040,13960.0,36.38,75660,14720.0,34.61,71980,14770.0,33.92,70540,17930.0,32.21,67000,17930.0,31.89,66340,23790.0,29.85,62080,24410.0,29.85,62080,25160.0,29.09,60500,,,
59,11-9140,"Property, Real Estate, and Community Association Managers",220750,34.48,71720,202550.0,34.49,71730,186720.0,34.79,72370,180290.0,33.79,70290,174410.0,32.81,68240,171140.0,31.67,65880,165960.0,30.9,64270,159570.0,30.56,63570,,,,,,,,,
60,11-9141,"Property, Real Estate, and Community Association Managers",220750,34.48,71720,202550.0,34.49,71730,186720.0,34.79,72370,180290.0,33.79,70290,174410.0,32.81,68240,171140.0,31.67,65880,165960.0,30.9,64270,159570.0,30.56,63570,152380.0,30.36,63150,147110.0,30,62400,,,
61,11-9150,Social and Community Service Managers,156460,35.05,72900,149870.0,34.46,71670,141830.0,33.91,70530,126230.0,34.07,70870,119770.0,33.38,69430,116670.0,32.56,67730,115330.0,31.61,65750,115360.0,30.99,64460,,,,,,,,,
62,11-9151,Social and Community Service Managers,156460,35.05,72900,149870.0,34.46,71670,141830.0,33.91,70530,126230.0,34.07,70870,119770.0,33.38,69430,116670.0,32.56,67730,115330.0,31.61,65750,115360.0,30.99,64460,115550.0,30.43,63290,116480.0,29.98,62360,,,
63,11-9160,Emergency Management Directors,10060,39.68,82530,9550.0,39.7,82570,9560.0,39.01,81140,9570.0,37.53,78060,9840.0,35.46,73750,9770.0,33.56,69810,9800.0,32.28,67150,9550.0,31.12,64730,,,,,,,,,
64,11-9161,Emergency Management Directors,10060,39.68,82530,9550.0,39.7,82570,9560.0,39.01,81140,9570.0,37.53,78060,9840.0,35.46,73750,9770.0,33.56,69810,9800.0,32.28,67150,9550.0,31.12,64730,11050.0,30.22,62850,11800.0,29,60330,,,
65,11-9171,Funeral Home Managers,9400,45.78,95220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",472060,57.07,118710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,13-0000,Business and Financial Operations Occupations,8183750,37.56,78130,7721300.0,36.98,76910,7472750.0,36.7,76330,7281190.0,36.09,75070,7032560.0,35.48,73800,6828940.0,34.81,72410,6658090.0,34.14,71020,6419370.0,33.44,69550,6178070.0,33.05,68740,6090910.0,32.54,67690,,,
68,13-1000,Business Operations Specialists,5427140,36.31,75530,5022640.0,35.52,73890,4811530.0,35.14,73080,4629810.0,34.54,71840,4424800.0,34.09,70900,4264370.0,33.69,70060,4137510.0,33.19,69030,3987180.0,32.66,67940,,,,,,,,,
69,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",17060,46.72,97170,14830.0,43.72,90930,15450.0,43.69,90870,13470.0,41.62,86560,13230.0,46.06,95810,11860.0,46.74,97220,11680.0,46.35,96410,11770.0,42.61,88620,,,,,,,,,
70,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",17060,46.72,97170,14830.0,43.72,90930,15450.0,43.69,90870,13470.0,41.62,86560,13230.0,46.06,95810,11860.0,46.74,97220,11680.0,46.35,96410,11770.0,42.61,88620,11950.0,44.35,92250,11790.0,43.19,89840,,,
71,13-1020,Buyers and Purchasing Agents,421280,33.5,69680,407410.0,32.47,67530,413540.0,32.19,66960,418530.0,31.44,65390,414900.0,30.85,64170,410230.0,30.22,62850,408060.0,29.76,61900,399990.0,29.29,60920,,,,,,,,,
72,13-1020,Buyers and Purchasing Agents,421280,33.5,69680,407410.0,32.47,67530,413540.0,32.19,66960,418530.0,31.44,65390,414900.0,30.85,64170,410230.0,30.22,62850,408060.0,29.76,61900,399990.0,29.29,60920,,,,,,,,,
73,13-1020,Buyers and Purchasing Agents,421280,33.5,69680,407410.0,32.47,67530,413540.0,32.19,66960,418530.0,31.44,65390,414900.0,30.85,64170,410230.0,30.22,62850,408060.0,29.76,61900,399990.0,29.29,60920,,,,,,,,,
74,13-1020,Buyers and Purchasing Agents,421280,33.5,69680,407410.0,32.47,67530,413540.0,32.19,66960,418530.0,31.44,65390,414900.0,30.85,64170,410230.0,30.22,62850,408060.0,29.76,61900,399990.0,29.29,60920,,,,,,,,,
75,13-1020,Buyers and Purchasing Agents,421280,33.5,69680,407410.0,32.47,67530,413540.0,32.19,66960,418530.0,31.44,65390,414900.0,30.85,64170,410230.0,30.22,62850,408060.0,29.76,61900,399990.0,29.29,60920,,,,,,,,,
76,13-1020,Buyers and Purchasing Agents,421280,33.5,69680,407410.0,32.47,67530,413540.0,32.19,66960,418530.0,31.44,65390,414900.0,30.85,64170,410230.0,30.22,62850,408060.0,29.76,61900,399990.0,29.29,60920,,,,,,,,,
77,13-1020,Buyers and Purchasing Agents,421280,33.5,69680,407410.0,32.47,67530,413540.0,32.19,66960,418530.0,31.44,65390,414900.0,30.85,64170,410230.0,30.22,62850,408060.0,29.76,61900,399990.0,29.29,60920,,,,,,,,,
78,13-1020,Buyers and Purchasing Agents,421280,33.5,69680,407410.0,32.47,67530,413540.0,32.19,66960,418530.0,31.44,65390,414900.0,30.85,64170,410230.0,30.22,62850,408060.0,29.76,61900,399990.0,29.29,60920,,,,,,,,,
79,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",301710,33.09,68820,302930.0,32.42,67440,298170.0,31.85,66250,289550.0,31.27,65040,286870.0,30.94,64350,279980.0,30.56,63560,288680.0,29.99,62370,275050.0,29.56,61480,,,,,,,,,
80,13-1031,"Claims Adjusters, Examiners, and Investigators",287960,33.15,68940,287730.0,32.47,67540,282030.0,31.89,66340,274420.0,31.24,64990,271600.0,30.91,64300,266280.0,30.53,63500,275500.0,29.97,62340,263280.0,29.58,61530,263810.0,29.38,61110,262540.0,28.94,60200,,,
81,13-1032,"Insurance Appraisers, Auto Damage",13750,31.85,66240,15200.0,31.5,65510,16150.0,31.1,64680,15130.0,31.7,65930,15270.0,31.39,65300,13690.0,31.13,64750,13180.0,30.34,63100,11770.0,28.96,60230,10950.0,28.41,59080,10280.0,27.75,57710,,,
82,13-1040,Compliance Officers,317600,35.03,72850,300900.0,34.86,72520,287130.0,34.39,71540,273910.0,33.77,70250,257010.0,33.26,69180,246970.0,32.69,68000,236090.0,32.1,66770,227500.0,31.23,64960,,,,,,,,,
83,13-1041,Compliance Officers,317600,35.03,72850,300900.0,34.86,72520,287130.0,34.39,71540,273910.0,33.77,70250,257010.0,33.26,69180,246970.0,32.69,68000,236090.0,32.1,66770,227500.0,31.23,64960,210510.0,30.66,63760,204000.0,29.88,62140,,,
84,13-1050,Cost Estimators,210000,34.31,71350,211600.0,33.52,69710,210900.0,32.9,68420,214610.0,32.03,66620,216270.0,31.16,64810,209130.0,30.93,64340,202600.0,30.61,63660,195230.0,30.33,63080,,,,,,,,,
85,13-1051,Cost Estimators,210000,34.31,71350,211600.0,33.52,69710,210900.0,32.9,68420,214610.0,32.03,66620,216270.0,31.16,64810,209130.0,30.93,64340,202600.0,30.61,63660,195230.0,30.33,63080,187730.0,30.13,62670,183790.0,29.84,62060,,,
86,13-1070,Human Resources Workers,708780,32.79,68200,671140.0,32.32,67240,633250.0,31.79,66120,605040.0,31.14,64780,571640.0,30.42,63280,536900.0,29.85,62100,503940.0,29.21,60760,471340.0,28.79,59890,,,,,,,,,
87,13-1071,Human Resources Specialists,633040,32.58,67760,593790.0,32.11,66790,553950.0,31.84,66220,524800.0,31.2,64890,491090.0,30.63,63710,456170.0,30.09,62590,426570.0,29.6,61560,394380.0,29.16,60660,,,,,,,,,
88,13-1074,Farm Labor Contractors,160,29.84,62060,200.0,25.45,52930,780.0,23.5,48890,810.0,22.74,47290,1230.0,21.11,43920,950.0,22.98,47790,1210.0,20.63,42920,1030.0,18.55,38590,960.0,17.17,35720,830.0,17.25,35890,,,
89,13-1075,Labor Relations Specialists,75580,34.55,71870,77140.0,34.01,70730,78510.0,31.51,65540,79430.0,30.89,64250,79330.0,29.3,60930,79780.0,28.56,59410,76160.0,27.2,56590,75930.0,27.02,56210,,,,,,,,,
90,13-1081,Logisticians,182050,37.83,78680,169820.0,37.85,78730,159800.0,37.86,78740,146060.0,37.41,77810,133770.0,37.25,77470,125670.0,36.94,76830,120340.0,36.7,76330,119560.0,36.38,75670,112310.0,35.99,74860,104800.0,35.34,73510,100420.0,         33.85,         70400
91,13-1110,Management Analysts,709750,45.94,95560,684470.0,45.38,94390,659200.0,44.92,93440,637690.0,44.19,91910,614110.0,44.12,91770,587450.0,43.68,90860,567840.0,43.26,89990,540440.0,42.34,88070,,,,,,,,,
92,13-1111,Management Analysts,709750,45.94,95560,684470.0,45.38,94390,659200.0,44.92,93440,637690.0,44.19,91910,614110.0,44.12,91770,587450.0,43.68,90860,567840.0,43.26,89990,540440.0,42.34,88070,538950.0,42.3,87980,536310.0,41.95,87260,,,
93,13-1120,"Meeting, Convention, and Event Planners",117610,26.39,54880,110120.0,25.83,53730,102420.0,25.3,52630,95850.0,25.01,52020,87400.0,24.62,51200,77940.0,24.48,50910,73290.0,24.13,50190,70480.0,23.96,49830,,,,,,,,,
94,13-1121,"Meeting, Convention, and Event Planners",117610,26.39,54880,110120.0,25.83,53730,102420.0,25.3,52630,95850.0,25.01,52020,87400.0,24.62,51200,77940.0,24.48,50910,73290.0,24.13,50190,70480.0,23.96,49830,,,,,,,,,
95,13-1130,Fundraisers,81660,30.21,62830,75700.0,29.62,61610,72920.0,28.81,59930,68910.0,27.85,57930,62720.0,27.49,57170,55230.0,27.33,56840,50530.0,27.05,56270,48530.0,26.55,55220,,,,,,,,,
96,13-1131,Fundraisers,81660,30.21,62830,75700.0,29.62,61610,72920.0,28.81,59930,68910.0,27.85,57930,62720.0,27.49,57170,55230.0,27.33,56840,50530.0,27.05,56270,48530.0,26.55,55220,,,,,,,,,
97,13-1140,"Compensation, Benefits, and Job Analysis Specialists",89300,33.58,69840,83550.0,32.65,67910,80530.0,32.29,67160,79190.0,31.97,66490,79780.0,31.3,65100,80970.0,30.95,64380,81520.0,30.44,63310,85620.0,29.9,62200,,,,,,,,,
98,13-1141,"Compensation, Benefits, and Job Analysis Specialists",89300,33.58,69840,83550.0,32.65,67910,80530.0,32.29,67160,79190.0,31.97,66490,79780.0,31.3,65100,80970.0,30.95,64380,81520.0,30.44,63310,85620.0,29.9,62200,94710.0,29.34,61030,102830.0,28.65,59590,,,
99,13-1150,Training and Development Specialists,312450,31.56,65640,291380.0,31.31,65120,280340.0,31.11,64700,269710.0,30.46,63350,254060.0,30.03,62460,239500.0,29.58,61530,224110.0,29.22,60780,217930.0,28.64,59560,,,,,,,,,
100,13-1151,Training and Development Specialists,312450,31.56,65640,291380.0,31.31,65120,280340.0,31.11,64700,269710.0,30.46,63350,254060.0,30.03,62460,239500.0,29.58,61530,224110.0,29.22,60780,217930.0,28.64,59560,205680.0,28.14,58540,203870.0,27.54,57280,,,
101,13-1160,Market Research Analysts and Marketing Specialists,678500,34.41,71570,638200.0,34.11,70960,596450.0,34.35,71450,558630.0,33.95,70620,506420.0,33.67,70030,468160.0,33.03,68700,430350.0,32.59,67780,392740.0,32.39,67380,,,,,,,,,
102,13-1161,Market Research Analysts and Marketing Specialists,678500,34.41,71570,638200.0,34.11,70960,596450.0,34.35,71450,558630.0,33.95,70620,506420.0,33.67,70030,468160.0,33.03,68700,430350.0,32.59,67780,392740.0,32.39,67380,,,,,,,,,
103,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",1279390,38.57,80220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,13-2000,Financial Specialists,2756610,40.03,83260,2698660.0,39.69,82550,2661230.0,39.51,82190,2651370.0,38.8,80700,2607760.0,37.85,78730,2564560.0,36.69,76320,2520580.0,35.71,74270,2432190.0,34.7,72180,,,,,,,,,
105,13-2010,Accountants and Auditors,1280700,38.23,79520,1259930.0,37.89,78820,1241000.0,37.46,77920,1246540.0,36.89,76730,1226910.0,36.19,75280,1187310.0,35.42,73670,1168330.0,34.86,72500,1129340.0,34.15,71040,,,,,,,,,
106,13-2011,Accountants and Auditors,1280700,38.23,79520,1259930.0,37.89,78820,1241000.0,37.46,77920,1246540.0,36.89,76730,1226910.0,36.19,75280,1187310.0,35.42,73670,1168330.0,34.86,72500,1129340.0,34.15,71040,1085150.0,33.72,70130,1072490.0,33.15,68960,,,
